ID,frequency,source,destination,start,stop,duration,conflicts,days,timeSpentInDay
442,Ka Band,Sat1,Svalbard,1.4400002360343933,1.4535002382472157,0.013500002212822437,"[{'Item1': 21, 'Item2': 3}]",[1],[0.013500002212822437]
443,Ka Band,Sat1,Svalbard,1.5105002475902438,1.5240002498030663,0.013500002212822437,"[{'Item1': 22, 'Item2': 3}]",[1],[0.013500002212822437]
444,Ka Band,Sat1,Svalbard,1.5810002591460943,1.5880002602934837,0.007000001147389412,[],[1],[0.007000001147389412]
447,Ka Band,Sat1,Svalbard,1.794000294059515,1.800500295124948,0.006500001065433025,[],[1],[0.006500001065433025]
453,Ka Band,Sat1,Svalbard,2.2330003660172224,2.2410003673285246,0.008000001311302185,[],[2],[0.008000001311302185]
460,Ka Band,Sat1,Svalbard,2.722500446252525,2.7300004474818707,0.0075000012293457985,[],[2],[0.0075000012293457985]
461,Ka Band,Sat1,Svalbard,2.794000457972288,2.800500459037721,0.006500001065433025,[],[2],[0.006500001065433025]
466,Ka Band,Sat1,Svalbard,3.1620005182921886,3.169000519439578,0.007000001147389412,[],[3],[0.007000001147389412]
470,Ka Band,Sat1,Svalbard,3.439500563777983,3.4530005659908056,0.013500002212822437,"[{'Item1': 49, 'Item2': 3}]",[3],[0.013500002212822437]
471,Ka Band,Sat1,Svalbard,3.5100005753338337,3.523500577546656,0.013500002212822437,"[{'Item1': 50, 'Item2': 3}]",[3],[0.013500002212822437]
480,Ka Band,Sat1,Svalbard,4.162000682204962,4.169000683352351,0.007000001147389412,[],[4],[0.007000001147389412]
481,Ka Band,Sat1,Svalbard,4.233000693842769,4.2405006950721145,0.0075000012293457985,[],[4],[0.0075000012293457985]
488,Ka Band,Sat1,Svalbard,4.722000773996115,4.7295007752254605,0.0075000012293457985,[],[4],[0.0075000012293457985]
497,Ka Band,Sat1,Svalbard,5.375000881031156,5.382000882178545,0.007000001147389412,[],[5],[0.007000001147389412]
